1. Rolling in the Deep - Adele,2010,1
2. F**k You - Cee Lo Green,2010,2
3. Pumped Up Kicks - Foster the People,2010,3
4. Just the Way You Are - Bruno Mars,2010,4
5. Only Girl (In the World) - Rihanna,2010,5
6. Runaway - Kanye West (featuring Pusha T),2010,6
7. Firework - Katy Perry,2010,7
8. Tighten Up - The Black Keys,2010,8
9. California Gurls - Katy Perry (featuring Snoop Dogg),2010,9
10. S&M - Rihanna,2010,10
1. Somebody That I Used to Know - Gotye,2011,1
2. Born This Way - Lady Gaga,2011,2
3. Party Rock Anthem - LMFAO (featuring Lauren Bennett),2011,3
4. We Are Young - Fun. (featuring Janelle Monáe),2011,4
5. Moves like Jagger - Maroon 5 (featuring Christina Aguilera),2011,5
6. We Found Love - Rihanna,2011,6
7. Someone like You - Adele,2011,7
"8. Give Me Everything - Pitbull (featuring Ne-Yo, Afrojack and Nayer)",2011,8
9. Sexy and I Know It - LMFAO,2011,9
10. Call Me Maybe - Carly Rae Jepsen,2011,10
1. Gangnam Style - Psy,2012,1
2. Payphone - Maroon 5 (featuring Wiz Khalifa),2012,2
3. Diamonds - Rihanna,2012,3
4. Live While We're Young - One Direction,2012,4
5. Locked Out of Heaven - Bruno Mars,2012,5
6. Starships - Nicki Minaj,2012,6
7. Blow Me (One Last Kiss) - Pink,2012,7
8. Climax - Usher,2012,8
9. Thinkin Bout You - Frank Ocean,2012,9
10. Ho Hey - Lumineers,2012,10
1. Get Lucky - Daft Punk (featuring Pharrell and Nile Rodgers),2013,1
2. Blurred Lines - Robin Thicke (featuring T.I. and Pharrell),2013,2
3. Happy - Pharrell Williams,2013,3
4. Royals - Lorde,2013,4
5. The Monster - Eminem (featuring Rihanna),2013,5
6. Mirrors - Justin Timberlake,2013,6
7. Timber - Pitbull (featuring Kesha),2013,7
8. Roar - Katy Perry,2013,8
9. Counting Stars - OneRepublic,2013,9
"10. Hold On, We're Going Home - Drake (featuring Majid Jordan)",2013,10
1. Uptown Funk - Mark Ronson (featuring Bruno Mars),2014,1
2. Thinking Out Loud - Ed Sheeran,2014,2
3. Cheerleader (Felix Jaehn remix) - Omi,2014,3
4. Stay with Me - Sam Smith,2014,4
5. Shake It Off - Taylor Swift,2014,5
6. Sugar - Maroon 5,2014,6
7. Shut Up And Dance - Walk the Moon,2014,7
8. All About That Bass - Meghan Trainor,2014,8
9. Seasons (Waiting on You) - Future Islands,2014,9
10. Problem - Ariana Grande (featuring Iggy Azalea),2014,10
1. Hello - Adele,2015,1
2. Hotline Bling - Drake,2015,2
3. Can't Feel My Face - The Weeknd,2015,3
4. Alright - Kendrick Lamar,2015,4
5. King Kunta - Kendrick Lamar,2015,5
6. Bad Blood - Taylor Swift (feat. Kendrick Lamar),2015,6
7. Love Me like You Do - Ellie Goulding,2015,7
8. Stitches - Shawn Mendes,2015,8
"9. FourFiveSeconds - Rihanna, Kanye West, Paul McCartney",2015,9
10. What Do You Mean? - Justin Bieber,2015,10
1. Starboy - The Weeknd (feat. Daft Punk),2016,1
2. One Dance - Drake (feat. Wizkid and Kyla),2016,2
3. Closer - Chainsmokers (feat. Halsey),2016,3
4. That's What I Like - Bruno Mars,2016,4
5. Heathens - Twenty One Pilots,2016,5
6. Work - Rihanna (feat. Drake),2016,6
7. Cheap Thrills - Sia (feat. Sean Paul),2016,7
8. Pillowtalk - Zayn,2016,8
9. 24K Magic - Bruno Mars,2016,9
10. Human - Rag'n'Bone Man,2016,10
1. Shape of You - Ed Sheeran,2017,1
2. Humble - Kendrick Lamar,2017,2
3. Something Just Like This - The Chainsmokers (with Coldplay),2017,3
4. Despacito (Remix) - Luis Fonsi (with Daddy Yankee feat. Justin Bieber),2017,4
5. Rockstar - Post Malone (feat. 21 Savage),2017,5
6. Perfect - Ed Sheeran,2017,6
"7. I'm the One - DJ Khaled (feat. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne)",2017,7
8. Feel It Still - Portugal. The Man,2017,8
9. Thunder - Imagine Dragons,2017,9
10. What Lovers Do - Maroon 5 (feat. SZA),2017,10
1. Shallow - Lady Gaga and Bradley Cooper,2018,1
2. This Is America - Childish Gambino,2018,2
"3. The Middle - Zedd, Maren Morris and Grey",2018,3
4. God's Plan - Drake,2018,4
5. Old Town Road - Lil Nas X,2018,5
6. All the Stars - Kendrick Lamar and SZA,2018,6
"7. I Like It - Cardi B, Bad Bunny and J Balvin",2018,7
8. Psycho - Post Malone (feat. Ty Dolla Sign),2018,8
9. Say Something - Justin Timberlake (feat. Chris Stapleton),2018,9
"10. Thank U, Next - Ariana Grande",2018,10
1. Old Town Road (Remix) - Lil Nas X (feat. Billy Ray Cyrus),2019,1
2. Bad Guy - Billie Eilish,2019,2
3. Señorita - Shawn Mendes & Camila Cabello,2019,3
4. I Don't Care - Ed Sheeran and Justin Bieber,2019,4
5. Sucker - Jonas Brothers,2019,5
6. 7 rings - Ariana Grande,2019,6
7. Highest in the Room - Travis Scott,2019,7
8. Please Me - Cardi B and Bruno Mars,2019,8
9. Circles - Post Malone,2019,9
10. Juice - Lizzo,2019,10
